Company_symbol,Sector,Enterprise_Value_over_EBITDA,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,fixedAssetTurnover,assetTurnover,Debt_to_Equity,Capex_to_Revenue,R&D_to_Revenue,Dividend_Yield,currentRatio
GME,Consumer Cyclical,3.903,0.0731,0.004,0.290730189,0.0157,24.35071225,1.695314979,0.3693,0.0133,0.0,0.0971,1.563
RLJ,Real Estate,8.7254,0.2986,0.093,0.388363434,0.055,0.327447161,0.293288185,0.6422,-0.1575,0.0,0.0805,0.882661996
TIF,Consumer Cyclical,12.8457,0.042,0.089,0.626097175,0.1145,4.209793034,0.762568351,0.3104,0.0574,0.0,0.0183,5.496
NOV,Energy,13.6644,0.1573,-0.004,0.170826925,-0.0022,3.022166607,0.427005456,0.1962,0.0289,0.0,0.0078,3.109
CNDT,Industrials,17.2713,-0.1045,-0.077,0.224550343,-0.1291,16.44207317,0.807335329,0.4863,0.0391,0.002,0.0,1.641
MTZ,Industrials,6.9123,0.0458,0.038,0.140403886,0.1868,9.239560154,1.556191473,1.0122,0.0204,0.0,0.0,1.69
WEN,Consumer Cyclical,7.377,0.0,0.289,0.518238994,0.7096,1.31079967,0.370456664,4.294,0.0439,0.0,0.0218,2.343
GPS,Consumer Cyclical,5.5175,0.0218,0.053,0.382592242,0.2697,5.652406417,1.98460383,0.3973,0.0461,0.0,0.0301,1.856
WDR,Financial Services,2.1727,0.0027,0.158,1.0,0.2078,18.29291018,0.863268454,0.1074,0.0022,0.0,0.0553,3.269
FTV,Technology,7.2407,0.121,0.446,0.514714771,0.4418,11.20065961,0.499992251,0.5201,0.0174,0.0642,0.0041,1.447
BKI,Technology,16.9475,0.0593,0.151,1.0,0.0943,6.290231508,0.304921443,0.7482,0.0925,0.0,0.0,1.113
CTSH,Technology,9.925,0.0888,0.13,0.389891473,0.1839,11.56743185,1.013322441,0.0652,0.0234,0.0,0.0126,3.125
AMTD,Financial Services,10.1573,0.4831,0.27,0.965333822,0.1841,6.883838384,0.145309168,0.3168,0.0398,0.0,0.016,1.098933109
CF,Basic Materials,9.1403,0.0724,0.065,0.20704448,0.098,0.513626348,0.349814391,1.5882,0.0894,0.0,0.0276,1.807
SABR,Technology,9.1719,0.0746,0.087,0.278136602,0.349,4.892577166,0.665983855,3.5219,0.0734,0.0,0.0259,1.166
LYB,Basic Materials,5.7936,0.1311,0.12,0.166008615,0.4572,3.126071972,1.379305467,0.9152,0.054,0.0029,0.0481,1.917
AEO,Consumer Cyclical,5.7339,0.0514,0.054,0.361082152,0.1638,5.240740971,2.089699848,0.0,0.0446,0.0,0.0292,1.996
MUR,Energy,4.319,0.1553,0.16,0.783749572,0.0851,0.304857976,0.232579305,0.644,0.7376,0.0404,0.0428,1.04
VMC,Basic Materials,14.3959,0.1266,0.118,0.251192769,0.0991,1.034352479,0.445770042,0.5598,0.102,0.0,0.0113,1.791
ANTM,Healthcare,9.3482,0.0229,0.041,0.219423484,0.1314,33.67641682,1.286903914,0.6731,0.0131,0.0,0.0114,1.563
GD,Industrials,11.1754,0.1685,0.092,0.185533114,0.2851,9.098290598,0.797062192,1.0584,0.0191,0.0,0.0231,1.234
KIM,Real Estate,10.9793,-0.03,0.377,0.71791748,0.0933,4.825348822,0.105896119,0.9138,-0.1871,0.0,0.0765,1.131548507
CHD,Consumer Defensive,19.1305,0.0979,0.137,0.444004921,0.2317,6.930625209,0.683104857,0.8587,0.0146,0.0,0.0132,0.813
IP,Consumer Cyclical,7.57,0.0719,0.086,0.332575302,0.2733,1.730343752,0.694126757,2.3026,0.0665,0.0,0.0477,1.49
