row_id,Revenue_Growth,Profit_Margin,grossProfitMargin,returnOnEquity,assetTurnover,Debt_to_Equity,Debt_to_Equity_squared,Capex_to_Revenue,R_and_D_to_Revenue,Dividend_Yield,currentRatio,currentRatio_squared,returnOnEquityXpositiveROE,Sector_Communication_Services,Sector_Consumer_Cyclical,Sector_Consumer_Defensive,Sector_Energy,Sector_Financial_Services,Sector_Healthcare,Sector_Industrials,Sector_Real_Estate,Sector_Technology,Sector_Utilities,Enterprise_Value_over_EBITDA,split,Sector_label
572,0.048,0.245,0.589837553,0.3789,0.649222547,0.7327,0.53684929,0.0397,0.0593,0.0,5.932,35.188624000000004,0.3789,False,False,False,False,False,False,False,False,True,False,16.3282,train,Technology
481,0.1282,0.07,0.598054327,0.0955,1.044687387,0.0,0.0,0.1286,0.0,0.0062,2.272,5.161984,0.0955,False,False,False,False,False,False,True,False,False,False,5.1687,train,Industrials
237,0.1045,0.095,0.410973358,0.1379,0.30421943,0.3571,0.1275204099999999,0.0064,0.0,0.0247,2.328199863,5.420514602073219,0.1379,False,False,False,False,True,False,False,False,False,False,5.7112,train,Financial_Services
82,0.0737,0.064,0.14187186,0.2586,0.62190867,1.5603,2.43453609,0.0182,0.0,0.0407,1.007,1.0140489999999998,0.2586,False,True,False,False,False,False,False,False,False,False,9.6064,train,Consumer_Cyclical
293,-0.0241,0.133,0.4685158,0.2321,0.544212252,1.3611,1.85259321,0.0138,0.0,0.0246,1.499,2.2470010000000005,0.2321,False,True,False,False,False,False,False,False,False,False,7.824,train,Consumer_Cyclical
68,0.0713,0.294,0.698552269,0.4218,0.426725118,0.0,0.0,0.0456,0.0,0.0314,1.113,1.238769,0.4218,False,False,False,False,False,False,True,False,False,False,15.993,train,Industrials
1188,0.0915,-0.017,0.345882179,-0.0547,1.623067491,0.2841,0.08071281,0.0707,0.0,0.0032,2.01,4.040099999999999,-0.0,False,False,False,False,False,False,True,False,False,False,9.3716,train,Industrials
1120,0.0519,0.033,0.36883533,0.0879,1.254328678,0.8407,0.70677649,0.0235,0.0,0.0309,5.461,29.822521,0.0879,False,False,True,False,False,False,False,False,False,False,8.2491,train,Consumer_Defensive
316,0.2121,0.094,0.356327107,0.3129,2.023079829,0.0,0.0,0.0749,0.0,0.0,2.638,6.959044,0.3129,False,True,False,False,False,False,False,False,False,False,12.114,train,Consumer_Cyclical
421,0.0393,0.063,0.114389547,0.3805,1.695320522,1.5192,2.3079686400000003,0.026,0.0,0.0332,3.038,9.229444,0.3805,False,True,False,False,False,False,False,False,False,False,4.9047,train,Consumer_Cyclical
352,0.0174,0.098,0.345903598,0.1411,0.684449696,0.7464,0.5571129599999999,0.0509,0.0,0.0234,0.936,0.8760960000000001,0.1411,False,False,False,False,False,True,False,False,False,False,10.824,train,Healthcare
580,0.1681,0.025,0.177667135,0.1303,1.719958767,1.5871,2.51888641,0.0421,0.0,0.007,1.13,1.2768999999999997,0.1303,False,True,False,False,False,False,False,False,False,False,7.4449,train,Consumer_Cyclical
262,0.0158,0.023,0.077115803,0.1234,1.84410917,1.1571,1.33888041,0.031,0.0,0.0,1.724,2.972176,0.1234,False,False,True,False,False,False,False,False,False,False,7.5089,train,Consumer_Defensive
1137,0.0911,0.043,0.374523733,0.0837,1.290149689,0.1623,0.02634129,0.057,0.0202,0.0,1.849,3.418801,0.0837,False,False,False,False,False,False,False,False,True,False,14.7424,train,Technology
37,0.0894,0.04,0.411815138,0.0717,0.389368458,2.345,5.4990250000000005,0.1242,0.0,0.0198,0.857,0.734449,0.0717,False,True,False,False,False,False,False,False,False,False,10.767,train,Consumer_Cyclical
416,0.4465,0.063,0.244245839,0.3119,1.930258907,0.246,0.060516,0.1186,0.0,0.0077,2.099,4.405801000000001,0.3119,False,False,False,True,False,False,False,False,False,False,4.7107,train,Energy
238,0.0317,0.174,0.417388949,0.7876,0.993140551,2.268,5.143824,0.0229,0.0,0.0281,1.631,2.660161,0.7876,False,False,False,False,False,False,True,False,False,False,11.6517,train,Industrials
390,0.2557,0.07,0.165292838,0.2919,1.696456562,1.0128,1.0257638399999998,0.0169,0.0114,0.0,2.411,5.812921,0.2919,False,False,False,False,False,False,False,False,True,False,5.9735,train,Technology
774,0.1741,0.054,0.280043757,0.2278,1.330814558,0.8483,0.7196128900000001,0.0192,0.0,0.0056,1.274,1.623076,0.2278,False,False,False,False,False,False,True,False,False,False,13.0522,train,Industrials
300,0.06,0.135,0.372261265,0.699,0.663982799,3.6159,13.07473281,0.0114,0.0,0.0165,1.476,2.178576,0.699,False,True,False,False,False,False,False,False,False,False,8.957,train,Consumer_Cyclical
312,0.1838,0.043,0.359754759,0.1417,0.918210026,1.7441,3.04188481,0.0465,0.0,0.0182,2.5,6.25,0.1417,False,True,False,False,False,False,False,False,False,False,12.0608,train,Consumer_Cyclical
821,-0.0275,-0.001,0.512444232,-0.0025,0.7957223,1.3953,1.94686209,0.0146,0.0983,0.0103,7.168,51.380224000000005,-0.0,False,False,False,False,False,False,False,False,True,False,11.715,train,Technology
679,0.0648,0.054,0.203650163,0.189,1.212532866,0.8216,0.6750265599999999,0.0353,0.0,0.0359,1.457,2.1228490000000004,0.189,False,True,False,False,False,False,False,False,False,False,6.6956,train,Consumer_Cyclical
1169,0.1021,0.013,0.356750519,0.0188,1.16926924,0.056,0.003136,0.0285,0.0,0.0259,3.259,10.621081,0.0188,False,False,False,False,False,False,True,False,False,False,8.765,train,Industrials
199,0.2114,0.183,1.0,0.4976,0.971321002,0.2555,0.06528025,0.0161,0.0,0.0266,1.976,3.904576,0.4976,False,False,False,False,True,False,False,False,False,False,3.8234,train,Financial_Services
644,0.187,0.034,0.305512706,0.0769,0.543664894,2.5042,6.27101764,0.0709,0.0,0.0,2.15,4.6225,0.0769,False,False,False,False,False,True,False,False,False,False,17.3949,train,Healthcare
789,0.2801,0.033,0.654250942,0.0671,0.752311099,0.0,0.0,0.1906,0.0,0.0,1.687,2.845969,0.0671,False,True,False,False,False,False,False,False,False,False,27.3101,train,Consumer_Cyclical
515,0.074,0.12,0.317573076,0.1482,0.86785588,0.1404,0.01971216,0.061,0.0235,0.0058,3.153,9.941409,0.1482,False,False,False,False,False,True,False,False,False,False,19.7196,train,Healthcare
613,0.0377,0.094,0.361797709,0.0506,0.458102933,0.0,0.0,0.3949,0.0576,0.0,4.477,20.043529000000003,0.0506,False,False,False,False,False,False,False,False,True,False,8.6228,train,Technology
776,0.0779,0.005,0.070745243,0.0239,1.702265832,0.6228,0.38787984,0.0512,0.0,0.0,1.534,2.353156,0.0239,False,False,False,False,False,False,True,False,False,False,22.9459,train,Industrials
387,0.093,0.261,0.657157562,0.3029,0.499504205,0.8405,0.70644025,0.0421,0.0634,0.0123,2.025,4.100625,0.3029,False,False,False,False,False,True,False,False,False,False,24.3478,train,Healthcare
